iter	Passed	Remaining
752	5143	86254
753	5150	86251
754	5157	86242
755	5163	86233
756	5170	86226
757	5177	86218
758	5184	86213
759	5191	86206
760	5198	86201
761	5204	86190
762	5211	86183
763	5217	86171
764	5225	86172
765	5232	86167
766	5239	86166
767	5246	86159
768	5252	86151
769	5259	86143
770	5266	86130
771	5273	86125
772	5279	86116
773	5286	86106
774	5293	86097
775	5300	86090
776	5306	86082
777	5313	86074
778	5320	86063
779	5326	86052
780	5333	86044
781	5340	86039
782	5347	86031
783	5354	86026
784	5360	86019
785	5367	86012
786	5374	86005
787	5381	85998
788	5388	85990
789	5394	85984
790	5401	85976
791	5408	85969
792	5415	85966
793	5422	85960
794	5429	85952
795	5435	85943
796	5442	85930
797	5449	85925
798	5456	85916
799	5462	85905
800	5469	85898
801	5475	85887
802	5482	85883
803	5489	85876
804	5496	85873
805	5503	85864
806	5510	85857
807	5517	85848
808	5523	85839
809	5530	85829
810	5536	85818
811	5543	85809
812	5550	85801
813	5557	85796
814	5564	85788
815	5570	85776
816	5577	85772
817	5584	85774
818	5591	85770
819	5598	85761
820	5605	85761
821	5613	85763
822	5620	85754
823	5627	85750
824	5633	85745
825	5640	85736
826	5647	85727
827	5653	85717
828	5660	85708
829	5667	85699
830	5673	85688
831	5680	85679
832	5687	85673
833	5694	85663
834	5700	85657
835	5707	85646
836	5714	85640
837	5721	85633
838	5727	85618
839	5734	85611
840	5741	85608
841	5748	85600
842	5754	85590
843	5761	85584
844	5768	85575
845	5774	85566
846	5781	85562
847	5788	85550
848	5795	85545
849	5802	85537
850	5809	85535
851	5816	85530
852	5822	85519
853	5829	85512
854	5836	85499
855	5842	85489
856	5849	85477
857	5856	85474
858	5862	85465
859	5869	85462
860	5876	85457
861	5883	85450
862	5890	85442
863	5897	85431
864	5903	85425
865	5910	85414
866	5917	85408
867	5924	85401
868	5931	85398
869	5938	85394
870	5944	85385
871	5951	85375
872	5958	85367
873	5965	85361
874	5971	85352
875	5978	85343
876	5985	85337
877	5991	85326
878	5998	85319
879	6005	85311
880	6012	85305
881	6019	85298
882	6025	85290
883	6032	85282
884	6039	85272
885	6045	85259
886	6052	85251
887	6059	85248
888	6065	85237
889	6072	85226
890	6078	85213
891	6085	85208
892	6092	85201
893	6099	85193
894	6106	85186
895	6113	85179
896	6119	85171
897	6126	85163
898	6133	85160
899	6140	85153
900	6147	85144
901	6153	85131
902	6160	85127
903	6167	85121
904	6173	85112
