iter	Passed	Remaining
883	20347	2670
884	20373	2647
885	20396	2624
886	20421	2601
887	20441	2578
888	20465	2555
889	20486	2532
890	20507	2508
891	20530	2485
892	20551	2462
893	20574	2439
894	20596	2416
895	20619	2393
896	20647	2370
897	20670	2347
898	20693	2324
899	20716	2301
900	20741	2279
901	20763	2255
902	20783	2232
903	20804	2209
904	20828	2186
905	20852	2163
906	20875	2140
907	20897	2117
908	20916	2093
909	20936	2070
910	20961	2047
911	20984	2024
912	21006	2001
913	21031	1978
914	21052	1955
915	21073	1932
916	21096	1909
917	21119	1886
918	21143	1863
919	21167	1840
920	21188	1817
921	21210	1794
922	21231	1771
923	21254	1748
924	21276	1725
925	21297	1701
926	21320	1678
927	21342	1655
928	21366	1632
929	21390	1610
930	21410	1586
931	21429	1563
932	21453	1540
933	21476	1517
934	21501	1494
935	21524	1471
936	21546	1448
937	21566	1425
938	21590	1402
939	21614	1379
940	21639	1356
941	21664	1333
942	21687	1310
943	21709	1287
944	21729	1264
945	21752	1241
946	21778	1218
947	21799	1195
948	21820	1172
949	21841	1149
950	21863	1126
951	21885	1103
952	21908	1080
953	21931	1057
954	21955	1034
955	21978	1011
956	22001	988
957	22026	965
958	22047	942
959	22068	919
960	22094	896
961	22118	873
962	22142	850
963	22165	827
964	22191	804
965	22216	781
966	22237	758
967	22258	735
968	22279	712
969	22300	689
970	22325	666
971	22349	643
972	22373	620
973	22395	597
974	22419	574
975	22441	551
976	22466	528
977	22486	505
978	22509	482
979	22531	459
980	22555	436
981	22576	413
982	22599	390
983	22624	367
984	22647	344
985	22671	321
986	22694	298
987	22716	275
988	22738	252
989	22761	229
990	22785	206
991	22807	183
992	22830	160
993	22854	137
994	22876	114
995	22897	91
996	22920	68
997	22943	45
998	22964	22
999	22988	0
